iter	Passed	Remaining
400	29310	44003
401	29428	43995
402	29540	43980
403	29632	43935
404	29772	43959
405	29911	43982
406	30038	43987
407	30169	43997
408	30268	43959
409	30375	43932
410	30494	43923
411	30614	43915
412	30691	43845
413	30845	43884
414	31017	43947
415	31144	43946
416	31235	43893
417	31404	43951
418	31486	43885
419	31582	43840
420	31782	43936
421	31996	44052
422	32163	44101
423	32393	44235
424	32573	44299
425	32749	44358
426	32920	44408
427	33180	44576
428	33445	44749
429	33650	44841
430	33841	44912
431	34063	45024
432	34319	45178
433	34528	45268
434	34761	45390
435	34972	45480
436	35185	45571
437	35400	45665
438	35626	45770
439	35762	45759
440	35915	45769
441	36060	45768
442	36226	45793
443	36390	45816
444	36528	45804
445	36638	45756
446	36750	45711
447	36844	45644
448	36981	45629
449	37123	45620
450	37272	45619
451	37409	45602
452	37574	45619
453	37716	45608
454	37816	45545
455	37945	45517
456	38058	45469
457	38220	45480
458	38385	45493
459	38542	45497
460	38711	45513
461	38851	45494
462	39013	45502
463	39125	45449
464	39227	45386
465	39349	45345
466	39465	45296
467	39618	45290
468	39848	45371
469	40092	45467
470	40257	45471
471	40447	45503
472	40644	45542
473	40835	45574
474	41015	45591
475	41243	45662
476	41422	45677
477	41637	45731
478	41857	45789
479	42036	45801
480	42282	45886
481	42422	45855
482	42580	45842
483	42723	45813
484	42910	45830
485	43102	45852
486	43275	45852
487	43403	45804
488	43555	45782
489	43688	45738
490	43923	45801
491	44075	45777
492	44246	45772
493	44391	45739
494	44503	45672
495	44603	45592
496	44700	45509
497	44854	45484
498	44992	45442
499	45155	45426
500	45319	45410
501	45535	45445
502	45689	45416
503	45862	45407
504	45962	45325
505	46098	45278
506	46280	45276
507	46477	45288
508	46643	45268
509	46817	45256
510	46997	45250
511	47186	45251
512	47330	45208
513	47426	45120
514	47586	45091
515	47764	45079
516	47977	45101
517	48103	45039
518	48252	44998
519	48439	44993
520	48574	44937
521	48699	44874
522	48890	44870
523	49025	44815
524	49176	44774
525	49311	44717
526	49430	44647
527	49564	44589
528	49669	44505
529	49801	44445
530	49998	44443
531	50138	44389
532	50287	44343
533	50430	44291
534	50576	44242
535	50721	44191
536	50912	44181
537	51076	44145
538	51174	44053
539	51292	43978
540	51404	43898
541	51531	43830
542	51622	43731
543	51692	43615
544	51775	43510
545	51853	43401
546	52005	43353
547	52183	43327
548	52328	43273
549	52441	43192
550	52589	43140
551	52711	43066
552	52838	42996
553	52936	42903
554	53030	42806
555	53133	42717
556	53247	42635
557	53333	42533
558	53422	42432
559	53522	42340
560	53639	42261
561	53749	42177
562	53875	42105
563	53972	42010
564	54131	41963
565	54293	41919
566	54431	41855
567	54575	41796
568	54674	41702
569	54809	41635
570	54984	41599
571	55158	41561
572	55326	41518
573	55489	41471
574	55710	41468
575	55940	41469
576	56197	41490
577	56382	41457
578	56556	41416
579	56717	41364
580	56897	41326
581	57065	41279
582	57276	41262
583	57414	41193
584	57524	41102
585	57606	40992
586	57692	40885
587	57813	40803
588	57892	40691
589	58057	40640
590	58181	40559
591	58323	40491
592	58410	40385
593	58488	40272
594	58632	40205
595	58794	40150
596	58925	40073
597	58993	39953
598	59172	39909
599	59329	39849
600	59494	39794
601	59596	39698
602	59748	39634
603	59828	39522
604	59889	39398
605	59942	39269
606	60022	39157
607	60102	39046
608	60179	38933
609	60292	38844
610	60362	38726
611	60422	38603
612	60476	38476
613	60556	38365
614	60692	38290
615	60830	38216
616	60945	38127
617	61026	38018
618	61150	37935
619	61296	37865
620	61430	37788
621	61576	37718
622	61705	37637
623	61822	37549
624	61993	37493
625	62186	37451
626	62494	37476
627	62711	37446
628	62863	37378
629	63037	37322
630	63204	37261
631	63351	37189
632	63444	37084
633	63580	37005
634	63701	36916
635	63853	36845
636	63918	36725
637	64001	36615
638	64101	36514
639	64185	36405
640	64280	36302
641	64390	36207
642	64568	36150
643	64829	36139
644	65017	36087
645	65180	36020
646	65281	35920
647	65422	35841
648	65645	35806
649	65826	35748
650	65987	35679
651	66157	35615
652	66318	35546
653	66439	35454
654	66648	35410
655	66774	35321
656	66887	35225
657	67026	35143
658	67227	35093
659	67451	35054
660	67692	35023
661	67836	34942
662	67997	34870
663	68172	34804
664	68341	34735
665	68470	34646
666	68566	34540
667	68707	34456
668	68853	34375
669	69014	34301
670	69146	34212
671	69238	34104
672	69341	34000
673	69405	33878
674	69477	33760
675	69571	33653
676	69674	33550
677	69864	33489
678	70017	33410
679	70136	33314
680	70250	33217
681	70337	33106
682	70412	32989
683	70492	32875
684	70561	32756
685	70609	32628
686	70658	32500
687	70739	32388
688	70799	32265
689	70884	32154
690	70946	32033
691	71026	31920
692	71081	31796
693	71141	31675
694	71224	31564
695	71298	31449
696	71383	31339
697	71491	31239
698	71595	31137
699	71687	31030
700	71815	30938
701	71922	30838
702	72061	30751
703	72166	30650
704	72307	30564
705	72384	30450
706	72467	30339
707	72587	30244
708	72761	30171
709	72944	30102
710	73100	30021
711	73210	29921
712	73320	29821
713	73420	29717
714	73574	29635
715	73700	29542
716	73882	29470
717	74146	29431
718	74344	29365
719	74522	29291
720	74659	29200
721	74815	29117
722	75076	29075
723	75250	28998
724	75403	28913
725	75544	28823
726	75690	28735
727	75918	28677
728	76026	28575
729	76174	28487
730	76294	28388
731	76406	28287
732	76563	28202
733	76686	28104
734	76825	28012
735	76960	27919
736	77110	27830
737	77217	27727
738	77289	27610
739	77356	27492
740	77426	27376
741	77506	27263
742	77583	27148
743	77649	27031
744	77801	26943
745	77967	26860
746	78097	26764
747	78216	26664
748	78309	26556
749	78437	26459
750	78611	26378
751	78714	26273
752	78811	26165
753	78882	26050
754	78956	25935
755	79035	25822
756	79101	25705
757	79206	25601
758	79279	25486
759	79348	25370
760	79404	25250
761	79464	25132
762	79572	25029
763	79720	24938
764	79898	24857
765	79998	24751
766	80085	24641
767	80246	24554
768	80395	24463
769	80578	24382
770	80769	24304
771	80907	24209
772	81064	24120
773	81371	24075
774	81569	23997
775	81786	23924
776	81983	23846
777	82168	23763
778	82268	23656
779	82375	23551
780	82468	23441
781	82597	23342
782	82746	23249
783	82893	23155
784	83023	23056
785	83119	22947
786	83229	22843
787	83362	22744
788	83527	22655
789	83639	22550
790	83835	22469
791	83983	22374
792	84082	22266
793	84222	22169
794	84328	22063
795	84500	21974
796	84653	21880
797	84824	21790
798	84944	21687
799	85017	21573
800	85119	21465
801	85234	21361
802	85382	21265
803	85526	21168
804	85655	21068
805	85743	20957
806	85851	20851
807	86002	20755
808	86157	20660
809	86311	20565
810	86425	20460
811	86502	20347
812	86591	20236
813	86677	20125
814	86799	20022
815	86874	19908
816	86950	19795
817	87031	19683
818	87099	19568
819	87172	19454
820	87261	19344
821	87342	19232
822	87421	19120
823	87561	19021
824	87696	18921
825	87847	18824
826	87967	18721
827	88030	18605
828	88138	18499
829	88261	18396
830	88349	18286
831	88443	18177
832	88572	18075
833	88692	17972
834	88798	17865
835	88889	17756
836	88955	17642
837	89046	17532
838	89130	17422
839	89244	17317
840	89424	17225
841	89632	17138
842	89792	17042
843	89985	16952
844	90173	16860
845	90307	16759
846	90394	16648
847	90500	16541
848	90596	16433
849	90708	16327
850	90893	16234
851	91095	16144
852	91271	16050
853	91461	15957
854	91567	15850
855	91716	15750
856	91838	15645
857	91925	15535
858	91978	15419
859	92086	15312
860	92208	15207
861	92341	15104
862	92427	14993
863	92547	14889
864	92664	14783
865	92803	14681
866	92921	14575
867	93029	14468
868	93139	14362
869	93246	14254
870	93331	14144
871	93437	14036
872	93599	13938
873	93783	13842
874	93881	13733
875	93953	13621
876	94031	13509
877	94113	13398
878	94189	13287
879	94260	13175
880	94330	13062
881	94384	12948
882	94445	12835
883	94514	12723
884	94583	12611
885	94688	12504
886	94788	12396
887	94852	12283
888	94923	12172
889	94991	12060
890	95059	11949
891	95141	11839
892	95214	11728
893	95308	11620
894	95400	11512
895	95504	11405
896	95592	11296
897	95675	11186
898	95762	11078
899	95912	10976
900	95998	10867
901	96090	10759
902	96184	10651
903	96269	10542
904	96324	10430
905	96420	10323
906	96515	10215
907	96582	10105
908	96728	10002
909	96832	9896
910	96914	9787
911	97006	9679
912	97098	9571
913	97189	9463
914	97272	9355
915	97365	9247
916	97451	9139
917	97545	9031
918	97638	8924
919	97716	8815
920	97793	8706
921	97873	8598
922	98023	8496
923	98118	8388
924	98210	8281
925	98297	8173
926	98379	8065
927	98471	7958
928	98566	7851
929	98690	7746
930	98798	7640
931	98879	7532
932	98967	7425
933	99055	7317
934	99155	7211
935	99237	7103
936	99334	6996
937	99414	6889
938	99482	6780
939	99548	6671
940	99640	6565
941	99699	6456
942	99774	6348
943	99835	6239
944	99890	6130
945	99956	6022
946	100058	5916
947	100142	5809
948	100208	5702
949	100277	5594
950	100342	5486
951	100415	5379
952	100488	5272
953	100557	5164
954	100679	5060
955	100794	4955
956	100860	4848
957	100927	4740
958	100990	4633
959	101076	4527
960	101151	4420
961	101219	4313
962	101297	4207
963	101394	4102
964	101476	3995
965	101546	3889
966	101625	3783
967	101713	3677
968	101810	3572
969	101916	3467
970	102076	3363
971	102238	3260
972	102361	3156
973	102434	3049
974	102498	2943
975	102566	2837
976	102690	2732
977	102755	2626
978	102827	2520
979	102932	2415
980	103054	2311
981	103192	2206
982	103304	2101
983	103370	1995
984	103468	1890
985	103567	1785
986	103677	1680
987	103781	1575
988	103886	1470
989	103978	1365
990	104075	1260
991	104212	1155
992	104308	1050
993	104397	945
994	104482	840
995	104572	734
996	104676	629
997	104774	524
998	104872	419
999	104958	314
1000	105048	209
1001	105148	104
1002	105246	0
