iter	Logloss
0	0.6652887199
1	0.6397745968
2	0.6170183743
3	0.5955815638
4	0.5760229914
5	0.558583076
6	0.5430819282
7	0.5282413242
8	0.514676756
9	0.5033774528
10	0.4924467271
11	0.4831133453
12	0.4741722235
13	0.4664567511
14	0.4590583575
15	0.451569836
16	0.4455843398
17	0.4400309898
18	0.43488954
19	0.430270784
20	0.4260584354
21	0.4219479261
22	0.4182266922
23	0.4147756078
24	0.4120504828
25	0.4087020721
26	0.4058378084
27	0.4033787095
28	0.4012280094
29	0.3991055923
30	0.3968351942
31	0.3948125903
32	0.393233932
33	0.3917803315
34	0.3905686778
35	0.3892027136
36	0.3879944382
37	0.3868056135
38	0.385734709
39	0.384658135
40	0.3838004835
41	0.3827965992
42	0.3820062436
43	0.3811966331
44	0.3804708064
45	0.379807344
46	0.3792197325
47	0.3786746778
48	0.3783128027
49	0.3777294872
50	0.3772445538
51	0.376905255
52	0.3764600302
53	0.3760039787
54	0.3755785084
55	0.375126827
56	0.3748324166
57	0.3746426186
58	0.3743916884
59	0.3740717116
60	0.3737362827
61	0.3733992592
62	0.3730531014
63	0.3727952319
64	0.3725592548
65	0.3723159362
66	0.3720405789
67	0.3717998564
68	0.3716035476
69	0.3714337578
70	0.371208881
71	0.3709551239
72	0.3707696373
73	0.3706227096
74	0.3705761107
75	0.3703921222
76	0.3702630163
77	0.3701732193
78	0.3699925358
79	0.3698675185
80	0.3697151226
81	0.3695014568
82	0.3693870799
83	0.3693009081
84	0.3691816495
85	0.3690681167
86	0.3689757477
87	0.3688474744
88	0.3687332748
89	0.3685944529
90	0.368461523
91	0.3683934122
92	0.3683248761
93	0.368200783
94	0.3680701603
95	0.367995561
96	0.367974264
97	0.3679079458
98	0.3678809108
99	0.3677755419
100	0.3677352073
101	0.3676598396
102	0.3675393364
103	0.3675218657
104	0.3675133981
105	0.3674337552
106	0.367344011
107	0.3672694996
108	0.3672323236
109	0.3672275155
110	0.3671507508
111	0.367123002
112	0.3670884541
113	0.3670075519
114	0.3669431652
115	0.3669236118
116	0.3668280461
117	0.3667799104
118	0.3666694438
119	0.3665712489
120	0.3665012361
121	0.3664312809
122	0.3663904092
123	0.3663814666
124	0.3662706193
125	0.3662682299
126	0.3661706669
127	0.3660767734
128	0.3660470823
129	0.3660088184
130	0.3659673035
131	0.3658964175
132	0.3658472777
133	0.3657900411
134	0.3657654465
135	0.3657561381
136	0.3657173005
137	0.3656807431
138	0.3656807247
139	0.3656569018
140	0.3656497566
141	0.3655789883
142	0.365534399
143	0.3654479384
144	0.3654201681
145	0.3653634059
146	0.3653294435
147	0.365277729
148	0.3652777283
149	0.3652554229
150	0.3652262899
151	0.3652262896
152	0.3652262893
153	0.365226289
154	0.3652262887
155	0.365177056
156	0.3651296728
157	0.3650578641
158	0.3650578639
159	0.3650578638
160	0.3650578636
161	0.3649665035
162	0.3649128479
163	0.3649126332
164	0.3648871589
165	0.3647720999
166	0.3647509065
167	0.3647453055
168	0.3647442534
169	0.3646457356
170	0.3645977182
171	0.3645977129
172	0.364536291
173	0.3645094696
174	0.3644787525
175	0.3644206548
176	0.3643666458
177	0.3643666368
178	0.3643563456
179	0.3643214994
180	0.3642923511
181	0.3642593085
182	0.3642592996
183	0.3642592915
184	0.364259284
185	0.3642135657
186	0.3641290762
187	0.3640531669
188	0.3640411866
189	0.3640043707
190	0.363978536
191	0.3639785245
192	0.3639142498
193	0.3638647499
194	0.363825751
195	0.3638252547
